year;district_code;district_name;neighborhood_code;neighborhood_name;sex;number
2022;1;Ciutat Vella;1;el Raval;Women;21761
2022;1;Ciutat Vella;2;el Barri Gòtic;Women;8824
2022;1;Ciutat Vella;3;la Barceloneta;Women;7222
2022;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Women;11232
2022;2;Eixample;5;el Fort Pienc;Women;17419
2022;2;Eixample;6;la Sagrada Família;Women;27785
2022;2;Eixample;7;la Dreta de l'Eixample;Women;23433
2022;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Women;22450
2022;2;Eixample;9;la Nova Esquerra de l'Eixample;Women;30446
2022;2;Eixample;10;Sant Antoni;Women;19988
2022;3;Sants-Montjuïc;11;el Poble Sec;Women;19860
2022;3;Sants-Montjuïc;12;la Marina del Prat Vermell;Women;746
2022;3;Sants-Montjuïc;13;la Marina de Port;Women;15779
2022;3;Sants-Montjuïc;14;la Font de la Guatlla;Women;5316
2022;3;Sants-Montjuïc;15;Hostafrancs;Women;8256
2022;3;Sants-Montjuïc;16;la Bordeta;Women;10100
2022;3;Sants-Montjuïc;17;Sants - Badal;Women;12910
2022;3;Sants-Montjuïc;18;Sants;Women;22374
2022;4;Les Corts;19;les Corts;Women;24488
2022;4;Les Corts;20;la Maternitat i Sant Ramon;Women;12669
2022;4;Les Corts;21;Pedralbes;Women;6282
2022;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Women;2431
2022;5;Sarrià-Sant Gervasi;23;Sarrià;Women;13169
2022;5;Sarrià-Sant Gervasi;24;les Tres Torres;Women;8588
2022;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Women;13947
2022;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Women;25861
2022;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;Women;16146
2022;6;Gràcia;28;Vallcarca i els Penitents;Women;8555
2022;6;Gràcia;29;el Coll;Women;4073
2022;6;Gràcia;30;la Salut;Women;7148
2022;6;Gràcia;31;la Vila de Gràcia;Women;27036
2022;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;Women;18907
2022;7;Horta-Guinardó;33;el Baix Guinardó;Women;13762
2022;7;Horta-Guinardó;34;Can Baró;Women;4880
2022;7;Horta-Guinardó;35;el Guinardó;Women;19747
2022;7;Horta-Guinardó;36;la Font d'en Fargues;Women;4976
2022;7;Horta-Guinardó;37;el Carmel;Women;16849
2022;7;Horta-Guinardó;38;la Teixonera;Women;6224
2022;7;Horta-Guinardó;39;Sant Genís dels Agudells;Women;3861
2022;7;Horta-Guinardó;40;Montbau;Women;2740
2022;7;Horta-Guinardó;41;la Vall d'Hebron;Women;3132
2022;7;Horta-Guinardó;42;la Clota;Women;322
2022;7;Horta-Guinardó;43;Horta;Women;14819
2022;8;Nou Barris;44;Vilapicina i la Torre Llobeta;Women;13805
2022;8;Nou Barris;45;Porta;Women;14471
2022;8;Nou Barris;46;el Turó de la Peira;Women;8584
2022;8;Nou Barris;47;Can Peguera;Women;1158
2022;8;Nou Barris;48;la Guineueta;Women;8104
2022;8;Nou Barris;49;Canyelles;Women;3579
2022;8;Nou Barris;50;les Roquetes;Women;8370
2022;8;Nou Barris;51;Verdun;Women;6738
2022;8;Nou Barris;52;la Prosperitat;Women;14014
2022;8;Nou Barris;53;la Trinitat Nova;Women;3869
2022;8;Nou Barris;54;Torre Baró;Women;1461
2022;8;Nou Barris;55;Ciutat Meridiana;Women;5499
2022;8;Nou Barris;56;Vallbona;Women;723
2022;9;Sant Andreu;57;la Trinitat Vella;Women;5076
2022;9;Sant Andreu;58;Baró de Viver;Women;1340
2022;9;Sant Andreu;59;el Bon Pastor;Women;6782
2022;9;Sant Andreu;60;Sant Andreu;Women;30357
2022;9;Sant Andreu;61;la Sagrera;Women;15628
2022;9;Sant Andreu;62;el Congrés i els Indians;Women;7587
2022;9;Sant Andreu;63;Navas;Women;11702
2022;10;Sant Martí;64;el Camp de l'Arpa del Clot;Women;20315
2022;10;Sant Martí;65;el Clot;Women;13806
2022;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Women;8245
2022;10;Sant Martí;67;la Vila Olímpica del Poblenou;Women;4738
2022;10;Sant Martí;68;el Poblenou;Women;17526
2022;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;Women;6865
2022;10;Sant Martí;70;el Besòs i el Maresme;Women;12460
2022;10;Sant Martí;71;Provençals del Poblenou;Women;11010
2022;10;Sant Martí;72;Sant Martí de Provençals;Women;13728
2022;10;Sant Martí;73;la Verneda i la Pau;Women;15088
2022;1;Ciutat Vella;1;el Raval;Men;24759
2022;1;Ciutat Vella;2;el Barri Gòtic;Men;13924
2022;1;Ciutat Vella;3;la Barceloneta;Men;7120
2022;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Men;11186
2022;2;Eixample;5;el Fort Pienc;Men;16026
2022;2;Eixample;6;la Sagrada Família;Men;23617
2022;2;Eixample;7;la Dreta de l'Eixample;Men;20723
2022;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Men;19915
2022;2;Eixample;9;la Nova Esquerra de l'Eixample;Men;26868
2022;2;Eixample;10;Sant Antoni;Men;18187
2022;3;Sants-Montjuïc;11;el Poble Sec;Men;19283
2022;3;Sants-Montjuïc;12;la Marina del Prat Vermell;Men;771
2022;3;Sants-Montjuïc;13;la Marina de Port;Men;14649
2022;3;Sants-Montjuïc;14;la Font de la Guatlla;Men;5043
2022;3;Sants-Montjuïc;15;Hostafrancs;Men;7603
2022;3;Sants-Montjuïc;16;la Bordeta;Men;9127
2022;3;Sants-Montjuïc;17;Sants - Badal;Men;11298
2022;3;Sants-Montjuïc;18;Sants;Men;20655
2022;4;Les Corts;19;les Corts;Men;21172
2022;4;Les Corts;20;la Maternitat i Sant Ramon;Men;11015
2022;4;Les Corts;21;Pedralbes;Men;5448
2022;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Men;2374
2022;5;Sarrià-Sant Gervasi;23;Sarrià;Men;11463
2022;5;Sarrià-Sant Gervasi;24;les Tres Torres;Men;7520
2022;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Men;11745
2022;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Men;21320
2022;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;Men;13637
2022;6;Gràcia;28;Vallcarca i els Penitents;Men;7527
2022;6;Gràcia;29;el Coll;Men;3538
2022;6;Gràcia;30;la Salut;Men;6189
2022;6;Gràcia;31;la Vila de Gràcia;Men;22816
2022;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;Men;16126
2022;7;Horta-Guinardó;33;el Baix Guinardó;Men;11829
2022;7;Horta-Guinardó;34;Can Baró;Men;4391
2022;7;Horta-Guinardó;35;el Guinardó;Men;17247
2022;7;Horta-Guinardó;36;la Font d'en Fargues;Men;4551
2022;7;Horta-Guinardó;37;el Carmel;Men;15270
2022;7;Horta-Guinardó;38;la Teixonera;Men;5694
2022;7;Horta-Guinardó;39;Sant Genís dels Agudells;Men;3401
2022;7;Horta-Guinardó;40;Montbau;Men;2274
2022;7;Horta-Guinardó;41;la Vall d'Hebron;Men;2737
2022;7;Horta-Guinardó;42;la Clota;Men;347
2022;7;Horta-Guinardó;43;Horta;Men;13056
2022;8;Nou Barris;44;Vilapicina i la Torre Llobeta;Men;11862
2022;8;Nou Barris;45;Porta;Men;12926
2022;8;Nou Barris;46;el Turó de la Peira;Men;7441
2022;8;Nou Barris;47;Can Peguera;Men;1029
2022;8;Nou Barris;48;la Guineueta;Men;6952
2022;8;Nou Barris;49;Canyelles;Men;3208
2022;8;Nou Barris;50;les Roquetes;Men;7786
2022;8;Nou Barris;51;Verdun;Men;5820
2022;8;Nou Barris;52;la Prosperitat;Men;12332
2022;8;Nou Barris;53;la Trinitat Nova;Men;3552
2022;8;Nou Barris;54;Torre Baró;Men;1447
2022;8;Nou Barris;55;Ciutat Meridiana;Men;5309
2022;8;Nou Barris;56;Vallbona;Men;697
2022;9;Sant Andreu;57;la Trinitat Vella;Men;5282
2022;9;Sant Andreu;58;Baró de Viver;Men;1263
2022;9;Sant Andreu;59;el Bon Pastor;Men;6771
2022;9;Sant Andreu;60;Sant Andreu;Men;27248
2022;9;Sant Andreu;61;la Sagrera;Men;13813
2022;9;Sant Andreu;62;el Congrés i els Indians;Men;6732
2022;9;Sant Andreu;63;Navas;Men;10245
2022;10;Sant Martí;64;el Camp de l'Arpa del Clot;Men;17892
2022;10;Sant Martí;65;el Clot;Men;12574
2022;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Men;7716
2022;10;Sant Martí;67;la Vila Olímpica del Poblenou;Men;4638
2022;10;Sant Martí;68;el Poblenou;Men;16577
2022;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;Men;6526
2022;10;Sant Martí;70;el Besòs i el Maresme;Men;13889
2022;10;Sant Martí;71;Provençals del Poblenou;Men;10082
2022;10;Sant Martí;72;Sant Martí de Provençals;Men;12124
2022;10;Sant Martí;73;la Verneda i la Pau;Men;13666