district_code,district_name_x,neighbourhood_code,neighbourhood_name_x,accidents,label_accidents,average_occupation_per_household,label_avg_occ,above_65t,label_above_65,elementary_highschool_bachelorsdegree,no_studies,primarystudies_schoolcertificate,university_studies,secondary_school,label_academic_level,between_18_64,label_between_18_65,bus_stops,label_bus_stops,children_play_areas,label_children_play_areas,cinema_theater_concerts,label_cinema_theatre_concerts,culture_leisure_spaces,label_cultural_leisure_spaces,library_studyroom_museum_spaces,label_library_studyroom,sport_facilities,label_sport_facilities,tourists_points,label_tourists_points,transportation,label_transportation,street_markets_and_fairs,label_street_markets_and_fairs,temporaray_exhibitions,rent_price,label_rent_price,hotels,label_hotels,spaces_for_exercising,label_spaces_for_excercise,parks_gardens,label_parks_gardens,number_of_museums_and_exhibitions,label_exhebitons_museums,music_drinks,label_music_drinks
10,Sant Martí,73,la Verneda i la Pau,1070.0,3.0,25.0,3.0,11535.0,3.0,7772.0,771.0,6048.0,4084.0,6168.0,0.0,11535.0,1.0,44.0,1.0,42.0,7.0,0.0,0.0,31.0,0.0,0.0,0.0,66.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,757.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Gràcia,28,Vallcarca i els Penitents,1072.0,3.0,24.0,2.0,6687.0,2.0,2443.0,180.0,1300.0,6009.0,3744.0,0.0,6687.0,0.0,71.0,2.0,15.0,3.0,0.0,0.0,27.0,0.0,9.0,1.0,47.0,1.0,42.0,0.0,7.0,0.0,0.0,0.0,0.0,969.3,3.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
4,Les Corts,21,Pedralbes,984.0,3.0,28.0,5.0,4201.0,1.0,1151.0,23.0,501.0,5308.0,2608.0,0.0,4201.0,0.0,74.0,2.0,15.0,3.0,0.0,0.0,30.0,0.0,13.0,1.0,81.0,1.0,90.0,1.0,6.0,0.0,0.0,0.0,0.0,1944.5,5.0,1.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,1.0,0.0
7,Horta-Guinardó,33,el Baix Guinardó,1030.0,3.0,24.0,2.0,10747.0,3.0,4769.0,427.0,2774.0,8072.0,6382.0,0.0,10747.0,1.0,24.0,0.0,14.0,3.0,0.0,0.0,16.0,0.0,5.0,0.0,65.0,1.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,903.9,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
10,Sant Martí,72,Sant Martí de Provençals,1000.0,3.0,24.0,2.0,10563.0,3.0,6339.0,515.0,4566.0,5019.0,5946.0,0.0,10563.0,1.0,23.0,0.0,21.0,4.0,2.0,0.0,32.0,0.0,4.0,0.0,81.0,1.0,12.0,0.0,6.0,0.0,1.0,0.0,0.0,843.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3,Sants-Montjuïc,17,Sants - Badal,1013.0,3.0,24.0,2.0,10053.0,3.0,5091.0,411.0,3902.0,6243.0,5564.0,0.0,10053.0,1.0,18.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,36.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,848.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Sants-Montjuïc,16,la Bordeta,1004.0,3.0,24.0,2.0,7886.0,2.0,4090.0,307.0,2981.0,4772.0,4480.0,0.0,7886.0,1.0,24.0,0.0,12.0,2.0,4.0,0.0,15.0,0.0,0.0,0.0,19.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1025.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3,Sants-Montjuïc,15,Hostafrancs,1042.0,3.0,24.0,2.0,6707.0,2.0,3113.0,214.0,2225.0,4867.0,3503.0,0.0,6707.0,0.0,27.0,0.0,3.0,0.0,3.0,0.0,10.0,0.0,1.0,0.0,49.0,1.0,18.0,0.0,8.0,0.0,0.0,0.0,0.0,826.2,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,Nou Barris,44,Vilapicina i la Torre Llobeta,1028.0,3.0,24.0,2.0,10544.0,3.0,5857.0,524.0,4006.0,5683.0,6213.0,0.0,10544.0,1.0,25.0,0.0,11.0,2.0,0.0,0.0,18.0,0.0,5.0,0.0,38.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,855.5,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8,Nou Barris,45,Porta,1078.0,3.0,27.0,4.0,10190.0,3.0,6931.0,664.0,5275.0,4464.0,6322.0,0.0,10190.0,1.0,27.0,0.0,16.0,3.0,1.0,0.0,27.0,0.0,0.0,0.0,59.0,1.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,728.5,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,1092.0,3.0,24.0,2.0,12342.0,3.0,3235.0,113.0,1274.0,13475.0,6989.0,1.0,12342.0,1.0,55.0,1.0,8.0,1.0,2.0,0.0,25.0,0.0,1.0,0.0,79.0,1.0,39.0,0.0,6.0,0.0,0.0,0.0,0.0,1108.6,3.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0
3,Sants-Montjuïc,12,la Marina del Prat Vermell,1082.0,3.0,25.0,3.0,611.0,0.0,437.0,31.0,418.0,165.0,202.0,0.0,611.0,0.0,107.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,36.0,0.0,9.0,0.0,29.0,1.0,1.0,0.0,0.0,1407.9,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,Nou Barris,48,la Guineueta,1014.0,3.0,24.0,2.0,6159.0,2.0,3715.0,401.0,2652.0,2620.0,3532.0,0.0,6159.0,0.0,25.0,0.0,28.0,5.0,0.0,0.0,22.0,0.0,6.0,0.0,20.0,0.0,20.0,0.0,3.0,0.0,2.0,1.0,0.0,748.8,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
8,Nou Barris,52,la Prosperitat,1017.0,3.0,25.0,3.0,10717.0,3.0,7413.0,888.0,5723.0,3149.0,5496.0,0.0,10717.0,1.0,20.0,0.0,10.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,693.3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,Sant Andreu,59,el Bon Pastor,1058.0,3.0,30.0,6.0,4508.0,1.0,3758.0,217.0,2812.0,1659.0,2603.0,0.0,4508.0,0.0,53.0,1.0,16.0,3.0,1.0,0.0,23.0,0.0,5.0,0.0,31.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,732.6,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
10,Sant Martí,67,la Vila Olímpica del Poblenou,1047.0,3.0,26.0,4.0,3579.0,1.0,991.0,34.0,454.0,4483.0,1943.0,0.0,3579.0,0.0,30.0,0.0,11.0,2.0,3.0,0.0,28.0,0.0,8.0,1.0,47.0,1.0,18.0,0.0,5.0,0.0,0.0,0.0,6.0,1442.6,4.0,7.0,0.0,2.0,1.0,6.0,0.0,3.0,0.0,7.0,0.0
10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,1038.0,3.0,25.0,3.0,5405.0,2.0,2040.0,154.0,1254.0,4687.0,2664.0,0.0,5405.0,0.0,46.0,1.0,21.0,4.0,1.0,0.0,29.0,0.0,2.0,0.0,51.0,1.0,27.0,0.0,5.0,0.0,0.0,0.0,0.0,1238.7,4.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
10,Sant Martí,71,Provençals del Poblenou,1088.0,3.0,25.0,3.0,8384.0,2.0,4712.0,328.0,3021.0,5158.0,4568.0,0.0,8384.0,1.0,43.0,1.0,23.0,4.0,0.0,0.0,18.0,0.0,2.0,0.0,23.0,0.0,15.0,0.0,5.0,0.0,0.0,0.0,1.0,1032.9,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
8,Nou Barris,56,Vallbona,466.0,0.0,29.0,5.0,490.0,0.0,423.0,41.0,383.0,116.0,169.0,0.0,490.0,0.0,24.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,945.7220588235294,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Sant Andreu,58,Baró de Viver,466.0,0.0,26.0,4.0,1004.0,0.0,804.0,61.0,709.0,169.0,386.0,0.0,1004.0,0.0,10.0,0.0,6.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,945.7220588235294,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,Horta-Guinardó,42,la Clota,386.0,0.0,24.0,2.0,281.0,0.0,159.0,11.0,86.0,165.0,128.0,0.0,281.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,945.7220588235294,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8,Nou Barris,47,Can Peguera,522.0,0.0,23.0,1.0,937.0,0.0,655.0,64.0,569.0,200.0,353.0,0.0,937.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,945.7220588235294,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Sant Andreu,60,Sant Andreu,1309.0,5.0,24.0,2.0,23931.0,5.0,12338.0,772.0,8062.0,13753.0,13974.0,1.0,23931.0,3.0,72.0,2.0,33.0,6.0,5.0,0.0,57.0,1.0,8.0,1.0,104.0,2.0,177.0,2.0,19.0,1.0,2.0,1.0,8.0,788.2,1.0,3.0,0.0,1.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0
10,Sant Martí,68,el Poblenou,1262.0,5.0,25.0,3.0,13836.0,3.0,5816.0,375.0,3644.0,11204.0,7352.0,1.0,13836.0,2.0,64.0,2.0,15.0,3.0,4.0,0.0,47.0,1.0,5.0,0.0,71.0,1.0,27.0,0.0,4.0,0.0,1.0,0.0,0.0,1085.6,3.0,6.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,6.0,0.0
6,Gràcia,31,la Vila de Gràcia,1364.0,5.0,22.0,0.0,22660.0,5.0,6643.0,470.0,4187.0,21611.0,10654.0,1.0,22660.0,3.0,47.0,1.0,13.0,2.0,24.0,1.0,108.0,2.0,7.0,1.0,118.0,2.0,260.0,2.0,6.0,0.0,0.0,0.0,4.0,982.6,3.0,51.0,1.0,0.0,0.0,6.0,0.0,3.0,0.0,51.0,2.0
5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1282.0,5.0,25.0,3.0,18634.0,4.0,4369.0,117.0,1840.0,22046.0,11192.0,1.0,18634.0,2.0,74.0,2.0,10.0,2.0,8.0,0.0,77.0,1.0,9.0,1.0,131.0,2.0,39.0,0.0,10.0,0.0,0.0,0.0,0.0,1484.5,4.0,39.0,1.0,0.0,0.0,10.0,1.0,1.0,0.0,39.0,1.0
2,Eixample,6,la Sagrada Família,1261.0,5.0,23.0,1.0,21947.0,5.0,8772.0,512.0,5229.0,18938.0,12175.0,1.0,21947.0,3.0,45.0,1.0,14.0,3.0,4.0,0.0,58.0,1.0,6.0,0.0,52.0,1.0,9.0,0.0,9.0,0.0,2.0,1.0,0.0,985.9,3.0,10.0,0.0,2.0,1.0,15.0,1.0,1.0,0.0,10.0,0.0
2,Eixample,8,l'Antiga Esquerra de l'Eixample,1296.0,5.0,23.0,1.0,6611.0,2.0,5327.0,257.0,2714.0,19555.0,9809.0,1.0,18231.0,2.0,91.0,2.0,12.0,2.0,4.0,0.0,136.0,2.0,15.0,1.0,49.0,1.0,21.0,0.0,7.0,0.0,0.0,0.0,0.0,1174.6,3.0,87.0,2.0,1.0,0.0,17.0,1.0,0.0,0.0,87.0,3.0
1,Ciutat Vella,2,el Barri Gòtic,1298.0,5.0,35.0,7.0,6572.0,2.0,5237.0,192.0,4373.0,6652.0,4526.0,0.0,6572.0,0.0,39.0,1.0,7.0,1.0,5.0,0.0,108.0,2.0,34.0,2.0,51.0,1.0,103.0,1.0,5.0,0.0,7.0,3.0,6.0,1062.5,3.0,52.0,1.0,0.0,0.0,2.0,0.0,15.0,1.0,52.0,2.0
2,Eixample,9,la Nova Esquerra de l'Eixample,1327.0,5.0,23.0,1.0,24647.0,5.0,8458.0,423.0,4742.0,23718.0,13306.0,1.0,24647.0,3.0,42.0,1.0,22.0,4.0,2.0,0.0,75.0,1.0,14.0,1.0,148.0,2.0,27.0,0.0,13.0,1.0,0.0,0.0,4.0,1012.2,3.0,18.0,0.0,0.0,0.0,20.0,1.0,2.0,0.0,18.0,1.0
2,Eixample,10,Sant Antoni,1300.0,5.0,23.0,1.0,16247.0,4.0,6623.0,434.0,4199.0,13861.0,8715.0,1.0,16247.0,2.0,57.0,1.0,14.0,3.0,6.0,0.0,63.0,1.0,7.0,1.0,52.0,1.0,15.0,0.0,13.0,1.0,4.0,2.0,0.0,1004.3,3.0,15.0,0.0,1.0,0.0,16.0,1.0,0.0,0.0,15.0,0.0
4,Les Corts,19,les Corts,1275.0,5.0,24.0,2.0,18952.0,4.0,6293.0,357.0,3662.0,18195.0,10842.0,1.0,18952.0,2.0,72.0,2.0,23.0,4.0,1.0,0.0,56.0,1.0,4.0,0.0,117.0,2.0,64.0,1.0,7.0,0.0,3.0,2.0,0.0,1067.8,3.0,9.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,9.0,0.0
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1300.0,5.0,22.0,0.0,10240.0,3.0,3582.0,216.0,2761.0,8970.0,4575.0,0.0,10240.0,1.0,38.0,1.0,12.0,2.0,13.0,1.0,129.0,2.0,34.0,2.0,45.0,1.0,75.0,1.0,6.0,0.0,3.0,2.0,16.0,1051.4,3.0,62.0,1.0,0.0,0.0,4.0,0.0,17.0,1.0,62.0,2.0
2,Eixample,5,el Fort Pienc,1271.0,5.0,26.0,4.0,12880.0,3.0,5565.0,284.0,3264.0,12441.0,7848.0,1.0,12880.0,1.0,40.0,1.0,15.0,3.0,7.0,0.0,60.0,1.0,10.0,1.0,64.0,1.0,21.0,0.0,13.0,1.0,2.0,1.0,4.0,1106.9,3.0,9.0,0.0,0.0,0.0,16.0,1.0,3.0,0.0,9.0,0.0
