district_code,district_name,neighbourhood_code,neighbourhood_name,label_accidents,label_avg_occ,label_above_65,label_academic_level,label_between_18_65,label_bus_stops,label_children_play_areas,label_cinema_theatre_concerts,label_cultural_leisure_spaces,label_library_studyroom,label_sport_facilities,label_tourists_points,label_transportation,label_street_markets_and_fairs,label_rent_price,label_hotels,label_spaces_for_excercise,label_parks_gardens,label_exhebitons_museums,label_music_drinks,label_temporary_exhibitions
10,Sant Martí,73,la Verneda i la Pau,3.0,3.0,3.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Gràcia,28,Vallcarca i els Penitents,3.0,2.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0
4,Les Corts,21,Pedralbes,3.0,5.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,5.0,1.0,0.0,2.0,1.0,1.0,0.0
7,Horta-Guinardó,33,el Baix Guinardó,3.0,2.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
10,Sant Martí,72,Sant Martí de Provençals,3.0,2.0,3.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
3,Sants-Montjuïc,17,Sants - Badal,3.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Sants-Montjuïc,16,la Bordeta,3.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
3,Sants-Montjuïc,15,Hostafrancs,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
8,Nou Barris,44,Vilapicina i la Torre Llobeta,3.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
8,Nou Barris,45,Porta,3.0,4.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0
3,Sants-Montjuïc,12,la Marina del Prat Vermell,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
8,Nou Barris,48,la Guineueta,3.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
8,Nou Barris,52,la Prosperitat,3.0,3.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
9,Sant Andreu,59,el Bon Pastor,3.0,6.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
10,Sant Martí,67,la Vila Olímpica del Poblenou,3.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0
10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,3.0,3.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0
10,Sant Martí,71,Provençals del Poblenou,3.0,3.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
8,Nou Barris,56,Vallbona,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
9,Sant Andreu,58,Baró de Viver,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
7,Horta-Guinardó,42,la Clota,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
8,Nou Barris,47,Can Peguera,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Sant Andreu,60,Sant Andreu,5.0,2.0,5.0,1.0,3.0,2.0,6.0,2.0,1.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,Sant Martí,68,el Poblenou,5.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0
6,Gràcia,31,la Vila de Gràcia,5.0,0.0,5.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,5.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,3.0,1.0
5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,5.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,0.0,4.0,2.0,0.0,2.0,1.0,2.0,0.0
2,Eixample,6,la Sagrada Família,5.0,1.0,5.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0
2,Eixample,8,l'Antiga Esquerra de l'Eixample,5.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,3.0,3.0,1.0,2.0,0.0,4.0,0.0
1,Ciutat Vella,2,el Barri Gòtic,5.0,7.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,1.0,4.0,1.0,3.0,3.0,2.0,0.0,1.0,2.0,3.0,1.0
2,Eixample,9,la Nova Esquerra de l'Eixample,5.0,1.0,5.0,1.0,3.0,1.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,0.0,3.0,2.0,0.0,2.0,1.0,2.0,1.0
2,Eixample,10,Sant Antoni,5.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0
4,Les Corts,19,les Corts,5.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",5.0,0.0,3.0,0.0,1.0,1.0,2.0,3.0,2.0,4.0,1.0,3.0,1.0,2.0,3.0,2.0,0.0,1.0,2.0,3.0,2.0
2,Eixample,5,el Fort Pienc,5.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0
3,Sants-Montjuïc,18,Sants,5.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0
1,Ciutat Vella,3,la Barceloneta,5.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0
7,Horta-Guinardó,36,la Font d'en Fargues,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
8,Nou Barris,54,Torre Baró,1.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Nou Barris,53,la Trinitat Nova,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,Nou Barris,49,Canyelles,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
3,Sants-Montjuïc,14,la Font de la Guatlla,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0
7,Horta-Guinardó,39,Sant Genís dels Agudells,1.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
7,Horta-Guinardó,38,la Teixonera,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
6,Gràcia,29,el Coll,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
7,Horta-Guinardó,34,Can Baró,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7,Horta-Guinardó,40,Montbau,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5,Sarrià-Sant Gervasi,23,Sarrià,4.0,5.0,3.0,0.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0
10,Sant Martí,64,el Camp de l'Arpa del Clot,4.0,1.0,4.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
10,Sant Martí,70,el Besòs i el Maresme,4.0,6.0,2.0,0.0,1.0,1.0,6.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,4.0,2.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0
4,Les Corts,20,la Maternitat i Sant Ramon,4.0,3.0,3.0,0.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
10,Sant Martí,65,el Clot,4.0,3.0,3.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
7,Horta-Guinardó,35,el Guinardó,4.0,2.0,4.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
10,Sant Martí,66,el Parc i la Llacuna del Poblenou,4.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,2.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0
7,Horta-Guinardó,37,el Carmel,4.0,3.0,3.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
3,Sants-Montjuïc,13,la Marina de Port,4.0,3.0,3.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
7,Horta-Guinardó,43,Horta,4.0,4.0,3.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0
5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,4.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
9,Sant Andreu,61,la Sagrera,4.0,3.0,3.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
9,Sant Andreu,63,Navas,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0
9,Sant Andreu,62,el Congrés i els Indians,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
5,Sarrià-Sant Gervasi,24,les Tres Torres,2.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
9,Sant Andreu,57,la Trinitat Vella,2.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,Nou Barris,55,Ciutat Meridiana,2.0,5.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
8,Nou Barris,51,Verdun,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Nou Barris,46,el Turó de la Peira,2.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
7,Horta-Guinardó,41,la Vall d'Hebron,2.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0
5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",2.0,5.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0
6,Gràcia,30,la Salut,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
8,Nou Barris,50,les Roquetes,2.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,Sants-Montjuïc,11,el Poble-sec,6.0,3.0,4.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0
1,Ciutat Vella,1,el Raval,6.0,4.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0
2,Eixample,7,la Dreta de l'Eixample,6.0,2.0,4.0,1.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,5.0,3.0,0.0,4.0,3.0,0.0,3.0,2.0,4.0,2.0
